Griffith;Feuillade;Bauer;Sjostrom;Chaplin;Weber;Guy;Western;Terror;Scifi;Animacion;Origenes1;Origenes2;Origenes3;Italia;Dinamarca;Alemania;IGM;Todas
;;;;;;;;;;;Chicago, Grande Roue;;Aberdeen University Quarter Centenary Celebrations;;;;;The Forced Marriage
;;;;;;;;;;;Panorama des rives de la Seine à Paris, III;;Return of T.R.H. the Prince and Princess of Wales;;;;;Calino Wants to Be a Cowboy
;;;;;;;;;;;Kiel: lancement du 'Fürst-Bismarck';;Sweet Dreams Intermingled With Nightmares;;;;;Journey of Akaki Tsereteli in Racha-Lechkhumi
;;;;;;;;;;;Tigers at the Zoo;;A Day in the Life of a Coal Miner;;;;;Old Isaacson's Diamonds
;;;;;;;;;;;Danse d'hommes;;A Visit to Peek Frean and Co.'s Biscuit Works;;;;;Heads... and the Women Who Use Them
;;;;;;;;;;;II. Inauguration;;Music, Forward!;;;;;André Chénier
;;;;;;;;;;;Danse indienne;;A Sixteenth Century Russian Wedding;;;;;A Venetian Night
;;;;;;;;;;;École de cavalerie de Saumur, le carrousel militaire: Changement de main;;Baby's Toilet;;;;;Holding His Own
;;;;;;;;;;;The Diving Horse;;The Other Side of the Hedge;;;;;Oscar at the Bath
;;;;;;;;;;;The Dewey Arch;;The Misadventure of a French Gentleman Without Pants at the Zandvoort Beach;;;;;Crimes of Diogo Alves
;;;;;;;;;;;Dewey Arch: Troops Passing Under Arch;;A Panicky Picnic;;;;;A Tale of Two Cities
;;;;;;;;;;;The Ball Game;;La Petite Rosse;;;;;Paris, Champs-Elysées (voitures)
;;;;;;;;;;;Chiens savants: la danse serpentine;;King of Dollars;;;;;The Wedding Trunk
;;;;;;;;;;;Duel to the Death;;The Little Train Robbery;;;;;A Suburbanite's Ingenious Alarm
;;;;;;;;;;;The Exhibition Sausage Seller and the Billposter;;The Game-Keeper's Son;;;;;A Christmas Accident
;;;;;;;;;;;Appointment at the Mill;;The Cruel Mother;;;;;The Floor Below
;;;;;;;;;;;Tears and Laughter;;"Félix Mayol Performs ""White Lilacs""";;;;;Bobby Bumps Starts a Lodge
;;;;;;;;;;;Dancing Darkey Boy;;"Félix Mayol Performs ""Indiscreet Questions""";;;;;Bucking Broncho
;;;;;;;;;;;Panorama des rives du Nil, [I];;Saharet Performs the Bolero;;;;;The Man with Wax Faces
;;;;;;;;;;;Railway Ride over the Tay Bridge;;Cake-walk nègre;;;;;The Queen of Spades
;;;;;;;;;;;View from an Engine Front: Ilfracombe;;The Magician's Alms;;;;;A Trip Down Market Street Before the Fire
;;;;;;;;;;;View from an Engine Front: Barnstaple;;The Statue;;;;;Panorama, Notorius 'Barbary Coast'
;;;;;;;;;;;The Launch of HMS Albion at Blackwall;;His Last Game;;;;;Nerves
;;;;;;;;;;;The Arrest of a Pickpocket;;The Stuntman;;;;;Barcelona Park at Twilight
;;;;;;;;;;;Entrée Et Sortie De La Mine;;;;;;;The Insects' Christmas
;;;;;;;;;;;Exit of the Twelve O'clock Mass of the Pillar of Saragossa;;;;;;;Balançoires
;;;;;;;;;;;Sauts au cheval en longueur;;;;;;;The Life of Christopher Columbus
;;;;;;;;;;;Londres, Piccadilly Circus;;;;;;;Nice, panorama du casino pris d'un bateau
;;;;;;;;;;;Workers Repairing a Sidewalk with Bitumen;;;;;;;Moscow, Tverskaia Street
;;;;;;;;;;;Équilibre et moulinet;;;;;;;Dream and Reality
;;;;;;;;;;;Embarquement;;;;;;;The Sign of the Cross
;;;;;;;;;;;Procession à Séville III;;;;;;;Polly of the Circus
;;;;;;;;;;;Jérusalem, le saint sépulcre;;;;;;;Ateliers de La Ciotat
;;;;;;;;;;;Vu générale de l'Exposition prise du Trocadéro;;;;;;;The Evidence of the Film
;;;;;;;;;;;99ème régiment d'infanterie : assaut du portique;;;;;;;From Laramie to London
;;;;;;;;;;;Danseuses cambodgiennes du roi Norodom, II;;;;;;;The Italian
;;;;;;;;;;;Le Caire, un enterrement;;;;;;;Child of the Big City
;;;;;;;;;;;Après le lancement : sortie des invités et du public;;;;;;;Komisches Reck
;;;;;;;;;;;Moulin à homme pour l'arrosage des rizières;;;;;;;The Black Hand
;;;;;;;;;;;La toilette du petit chien;;;;;;;Madame Du Barry
;;;;;;;;;;;Belfast, Castle Place;;;;;;;The Scarlet Drop
;;;;;;;;;;;Paris, mi-carême : char de la reine des reines;;;;;;;Récréation à la Martinière
;;;;;;;;;;;Pigeons sur la place Saint-Marc;;;;;;;Mit Herz und Hand fürs Vaterland
;;;;;;;;;;;Charmeur d'oiseaux;;;;;;;A Salutary Lesson
;;;;;;;;;;;Cortège de gymnastique devant LL. MM.;;;;;;;Hilde Warren and Death
;;;;;;;;;;;Mont Dore: L'Etablissement thermal;;;;;;;Luke Lugs Luggage
;;;;;;;;;;;Nègres Ashantis: Toilette d'un negrillon II;;;;;;;The Final Settlement
;;;;;;;;;;;English Lancers Charging;;;;;;;The Thread of Destiny
;;;;;;;;;;;Danse du papillon;;;;;;;A Storm at Sea
;;;;;;;;;;;Embarquement d'un bœuf à bord d'un navire;;;;;;;The Restoration
;;;;;;;;;;;Guillaume Tell;;;;;;;Carmen
;;;;;;;;;;;Voltige à cheval à Prague;;;;;;;A Modern Musketeer
;;;;;;;;;;;The Serenaders;;;;;;;Comic Face
;;;;;;;;;;;Filipinos Retreat from Trenches;;;;;;;Hadj Cheriff
;;;;;;;;;;;Tenderloin at Night;;;;;;;Madcap Ambrose
;;;;;;;;;;;General Lee's Procession, Havana;;;;;;;The End of the World
;;;;;;;;;;;U.S. Troops and Red Cross in the Trenches Before Caloocan;;;;;;;The Last Days of Pompeii
;;;;;;;;;;;Admiral Dewey Leading Land Parade, No. 2;;;;;;;The Eye of Envy
;;;;;;;;;;;The Gordon Highlanders;;;;;;;Firemen to the Rescue
;;;;;;;;;;;Capture of Trenches at Candaba;;;;;;;Gold and Glitter
;;;;;;;;;;;Fougere;;;;;;;Saving the Family Name
;;;;;;;;;;;Astor Battery on Parade;;;;;;;Old Doc Yak and the Artist's Dream
;;;;;;;;;;;2nd Special Service Battalion, Canadian Infantry: Parade;;;;;;;Das Tagebuch des Apothekers Warren
;;;;;;;;;;;Advance of Kansas Volunteers at Caloocan;;;;;;;The Honor of His Family
;;;;;;;;;;;U.S. Infantry Supported by Rough Riders at El Caney;;;;;;;His Mother
;;;;;;;;;;;U.S. Cruiser 'Raleigh';;;;;;;The Brand of Satan
;;;;;;;;;;;Morning Colors on U.S. Cruiser 'Raleigh';;;;;;;Limousine Life
;;;;;;;;;;;Raising Old Glory Over Morro Castle;;;;;;;The Brahma Diamond
;;;;;;;;;;;Troops at Evacuation of Havana;;;;;;;Hidden Valley
;;;;;;;;;;;Surprising a Picket;;;;;;;A Misunderstood Boy
;;;;;;;;;;;New York Police Parade, June 1st, 1899;;;;;;;Bill Henry
;;;;;;;;;;;'Columbia' Winning the Cup;;;;;;;Der eiserne Wille
;;;;;;;;;;;Admiral Dewey Leading Land Parade;;;;;;;Seeing Double
;;;;;;;;;;;Admiral Dewey Landing at Gibraltar;;;;;;;Jacques of the Silver North
;;;;;;;;;;;Admiral Dewey Receiving the Washington and New York Committees;;;;;;;The Seneschal's Diamond
;;;;;;;;;;;Admiral Dewey Taking Leave of Washington Committee on the U.S. Cruiser 'Olympia';;;;;;;Headin' South
;;;;;;;;;;;Tourists Going Round Yellowstone Park;;;;;;;Social Ambition
;;;;;;;;;;;Festival of Paris 1899: Flowering Car Contest;;;;;;;All Woman
;;;;;;;;;;;Panorama of Calcutta;;;;;;;Parsifal
;;;;;;;;;;;In the Grip of the Blizzard;;;;;;;Birds of a Feather
;;;;;;;;;;;Three Acrobats;;;;;;;The Man Beneath
;;;;;;;;;;;New Brooklyn to New York via Brooklyn Bridge, No. 2;;;;;;;When a Man Loves
;;;;;;;;;;;U.S. Cruiser 'Olympia' Leading Naval Parade;;;;;;;Toys of Destiny
;;;;;;;;;;;De Kongelige skal fotograferes;;;;;;;Three Friends
;;;;;;;;;;;104th Street Curve, New York, Elevated Railway;;;;;;;She Loved Him Plenty
;;;;;;;;;;;Arabian Gun Twirler;;;;;;;Home Life of a Hungarian Family
;;;;;;;;;;;Prinsengracht;;;;;;;That Chink at Golden Gulch
;;;;;;;;;;;Fun in Camp;;;;;;;Alone in the Jungle
;;;;;;;;;;;Trick Bears;;;;;;;A Feud in the Kentucky Hills
;;;;;;;;;;;Mesmerist and Country Couple;;;;;;;The Faded Lilies
;;;;;;;;;;;Sauts périlleux par deux;;;;;;;Anna Karenina
;;;;;;;;;;;U.S. Battleship 'Indiana';;;;;;;A Mexican Courtship
;;;;;;;;;;;Freight Train;;;;;;;The Dirigible 'Homeland'
;;;;;;;;;;;Morro Castle, Havana Harbor;;;;;;;The Cabbage-Patch Fairy
;;;;;;;;;;;Mount Tamalpais R.R., No. 2;;;;;;;The Devil's Signature
;;;;;;;;;;;Troops Making Military Road in Front of Santiago;;;;;;;Who Gets the Order
;;;;;;;;;;;Going Through the Tunnel;;;;;;;The Slavey
;;;;;;;;;;;U.S. Cavalry Supplies Unloading at Tampa, Florida;;;;;;;Bold Emmett, Ireland's Martyr
;;;;;;;;;;;Burial of the 'Maine' Victims;;;;;;;Her Indian Mother
;;;;;;;;;;;Observation Train Following Parade;;;;;;;Cannibals of the South Seas
;;;;;;;;;;;Major General Shafter;;;;;;;The Village Chestnut
;;;;;;;;;;;N.Y. Journal Despatch Yacht 'Buccaneer';;;;;;;The Woman in Black
;;;;;;;;;;;Secretary Long and Captain Sigsbee;;;;;;;Ma concierge est trop jolie
;;;;;;;;;;;The Fleet Steaming Up North River;;;;;;;Forbidden Fruit
;;;;;;;;;;;Sunset Limited, Southern Pacific Ry.;;;;;;;Warships at Sunset
;;;;;;;;;;;War Correspondents;;;;;;;Charge of the Carabineers, Aldershot
;;;;;;;;;;;Roosevelt's Rough Riders Embarking for Santiago;;;;;;;Arrival of a Train (Joinville Station)
;;;;;;;;;;;9th Infantry Boys' Morning Wash;;;;;;;Don Juan Tenorio
;;;;;;;;;;;10th U.S. Infantry, 2nd Battalion Leaving Cars;;;;;;;Has He Hit Me?
;;;;;;;;;;;Parade of Marines, U.S. Cruiser, 'Brooklyn';;;;;;;The Rejuvenation of Aunt Mary
;;;;;;;;;;;Close View of the 'Brooklyn,' Naval Parade;;;;;;;His Double
;;;;;;;;;;;Hockey Match on the Ice;;;;;;;The Unwilling Draught Dog
;;;;;;;;;;;South Spring Street, Los Angeles, Cal.;;;;;;;The Awful Adventures of an Aviator
;;;;;;;;;;;Launch of Japanese Man-of-War 'Chitosa';;;;;;;Fate
;;;;;;;;;;;Cake Walk;;;;;;;The Dawn of a Tomorrow
;;;;;;;;;;;Feeding Sea Gulls;;;;;;;Lost and Won
;;;;;;;;;;;Wreck of the Battleship 'Maine';;;;;;;Cab Number 13
;;;;;;;;;;;Sleighing Scene;;;;;;;Are Waitresses Safe?
;;;;;;;;;;;Cuban Volunteers Embarking;;;;;;;Carmen
;;;;;;;;;;;Cuban Refugees Waiting for Rations;;;;;;;Shipwrecked
;;;;;;;;;;;Parade of Chinese;;;;;;;She Cried
;;;;;;;;;;;Native Daughters;;;;;;;Lost in the Jungle
;;;;;;;;;;;Launching, No. 2;;;;;;;Wild Women
;;;;;;;;;;;Transport 'Whitney' Leaving Dock;;;;;;;For Love of an Enemy
;;;;;;;;;;;Wash Day in Mexico;;;;;;;The Blacksmith's Love
;;;;;;;;;;;Pack Mules with Ammunition on the Santiago Trail, Cuba;;;;;;;Alma's Champion
;;;;;;;;;;;Union Iron Works;;;;;;;The Trail of Hate
;;;;;;;;;;;Mount Tamalpais R.R., No. 1;;;;;;;Ammunition Smuggling on the Mexican Border: Incidents of the Mexican Revolution
;;;;;;;;;;;Packing Ammunition on Mules, Cuba;;;;;;;The Test of Friendship
;;;;;;;;;;;Soldiers Washing Dishes;;;;;;;Calino, Station Master
;;;;;;;;;;;Colored Troops Disembarking;;;;;;;Mrs. Wiggs of the Cabbage Patch
;;;;;;;;;;;Troops Embarking at San Francisco;;;;;;;La Vie et la Passion de Notre Seigneur Jesus Christ
;;;;;;;;;;;Military Camp at Tampa, Taken from Train;;;;;;;The Strong Man's Burden
;;;;;;;;;;;What Demoralized the Barber Shop;;;;;;;Juan and Juanita
;;;;;;;;;;;Cuban Ambush;;;;;;;The Diver
;;;;;;;;;;;Mount Taw R.R., No. 3;;;;;;;The Righteous Revenge
;;;;;;;;;;;A Street Arab;;;;;;;Diamond Cut Diamond
;;;;;;;;;;;Agoust Family of Jugglers;;;;;;;The Lie
;;;;;;;;;;;Leander Sisters;;;;;;;Bigorno fume l'opium
;;;;;;;;;;;Sheep Run, Chicago Stockyards;;;;;;;His Bread and Butter
;;;;;;;;;;;Driving with Greenland Dogs;;;;;;;Bertha, the Buttonhole-Maker
;;;;;;;;;;;Fisherman's Luck;;;;;;;Gloria transita
;;;;;;;;;;;Falls of Minnehaha;;;;;;;Les Misérables - Part 1: Jean Valjean
;;;;;;;;;;;Armour's Electric Trolley;;;;;;;Ben's Kid
;;;;;;;;;;;Cattle Driven to Slaughter;;;;;;;Scenes in an Infant Orphan Asylum
;;;;;;;;;;;Capsize of Lifeboat;;;;;;;Wales v. Ireland at Wrexham
;;;;;;;;;;;Water Fall in the Catskills;;;;;;;Whatsoever a Man Soweth
;;;;;;;;;;;Philadelphia Express, Jersey Central Railway;;;;;;;In the Hands of the Enemy
;;;;;;;;;;;Sutro Baths, No. 1;;;;;;;The Wicked Darling
;;;;;;;;;;;Sutro Baths, No. 2;;;;;;;A Bird's a Bird
;;;;;;;;;;;Dance, Franchonetti Sisters;;;;;;;Somewhere in Turkey
;;;;;;;;;;;Corner Madison and State Streets, Chicago;;;;;;;How Monsieur Takes His Bath
;;;;;;;;;;;Tedders;;;;;;;Pygmalion and Galatea
;;;;;;;;;;;Fast mail, Northern Pacific Railroad;;;;;;;The Gardener
;;;;;;;;;;;Surf at Monterey;;;;;;;Palace of Electricity
;;;;;;;;;;;Buffalo Police on Parade;;;;;;;The Burlesque Suicide, No. 2
;;;;;;;;;;;Lurline Baths;;;;;;;The Old Maid Having Her Picture Taken
;;;;;;;;;;;Hotel Vendome, San Jose, Cal.;;;;;;;The Cigarette
;;;;;;;;;;;Cairo, Artillery Parade;;;;;;;Serpentine Dance by Annabelle
;;;;;;;;;;;Liverpool, Church Street;;;;;;;Die Insel der Seligen
;;;;;;;;;;;Lick Observatory, Mt. Hamilton, Cal.;;;;;;;Max Is Convalescent
;;;;;;;;;;;Rome, Wedding Procession of the Prince of Naples;;;;;;;New York. Arrival of a Train at Battery Place
;;;;;;;;;;;Free-for-All race at Charter Oak Park;;;;;;;Robinson Crusoe
;;;;;;;;;;;Southern Pacific Overland Mail;;;;;;;Place de l'Opéra
;;;;;;;;;;;Racing at Sheepshead Bay;;;;;;;Danse Fleur de Lotus
;;;;;;;;;;;Carpenters;;;;;;;An Extraordinary Cab Accident
;;;;;;;;;;;S.S. 'Coptic' Sailing Away;;;;;;;Cat Trotting, Changing to a Gallop
;;;;;;;;;;;S.S. 'Coptic' in the Harbor;;;;;;;A Barc at the Sea
;;;;;;;;;;;Buffalo Stockyards;;;;;;;Tit-for-Tat
;;;;;;;;;;;Launch of life boat;;;;;;;A Miracle Under the Inquisition
;;;;;;;;;;;Fishing smacks;;;;;;;Matches: An Appeal
;;;;;;;;;;;Stanford University, California;;;;;;;Death of Marat
;;;;;;;;;;;Loading baggage for Klondike, no. 6;;;;;;;Defence of Sevastopol
;;;;;;;;;;;Horses loading for Klondike, no. 9;;;;;;;A Tale of Two Cities
;;;;;;;;;;;Fisherman's Wharf;;;;;;;The Danger Girl
;;;;;;;;;;;S.S. 'Queen' Leaving Dock;;;;;;;An Untimely Intrusion
;;;;;;;;;;;Police Patrol Wagon;;;;;;;An Adventurous Automobile Trip
;;;;;;;;;;;Nègres Ashantis: Danse du sabre II;;;;;;;Madame's Cravings
;;;;;;;;;;;Constantinople, panorama de la corne d'or;;;;;;;The Haunted Castle
;;;;;;;;;;;Charity Ball;;;;;;;Stockholm, entrée de l'exposition
;;;;;;;;;;;Ballet Libella;;;;;;;Fatima's Coochee-Coochee Dance
;;;;;;;;;;;Japanese Sword Fencing;;;;;;;Luke's Movie Muddle
;;;;;;;;;;;Repas en famille;;;;;;;Luis Martinetti, Contortionist
;;;;;;;;;;;Les souverains et les invités se rendant au sacre (escalier rouge);;;;;;;Absinthe
;;;;;;;;;;;Défilé de la garde nationale du district de Columbia;;;;;;;The Rajah's Dream or The Bewitched Wood
;;;;;;;;;;;Voitures automobiles;;;;;;;Photograph
;;;;;;;;;;;Vienne, entrée du cinématographe;;;;;;;The Grasshopper and the Ant
;;;;;;;;;;;Rome, pont Ripetta;;;;;;;The Malagueña and the Bullfighter
;;;;;;;;;;;Pompiers : sortie de la pompe;;;;;;;Forgiven in Death
;;;;;;;;;;;Place de la Comédie;;;;;;;Life Without Soul
;;;;;;;;;;;Repas des chats;;;;;;;Lyon : Quai de l'Archevêché
;;;;;;;;;;;Madrid, arrivée des toréadors;;;;;;;The Last Dawn
;;;;;;;;;;;Levée de filets de pêche;;;;;;;Tih Minh
;;;;;;;;;;;Arrivée en voiture;;;;;;;Madonna of the Storm
;;;;;;;;;;;Départ de cyclistes;;;;;;;The Jew's Christmas
;;;;;;;;;;;Le cocher endormi;;;;;;;Bains sur la Saône
;;;;;;;;;;;Cyclistes et cavaliers arrivant au cottage;;;;;;;Chamonix: Le mauvais pas
;;;;;;;;;;;Cuirassiers à cheval;;;;;;;Satan in Prison
;;;;;;;;;;;Course de taureaux, sortie de la quadrille;;;;;;;The Waiter's Dream
;;;;;;;;;;;Concours de bébés;;;;;;;The Jungle Stockade
;;;;;;;;;;;Pont de bateaux;;;;;;;A Reno Romance
;;;;;;;;;;;Cavalcade (char de la soierie);;;;;;;You're Fired
;;;;;;;;;;;Concert;;;;;;;Die Zauberin am Stein
;;;;;;;;;;;Escrime au sabre;;;;;;;Mr. Wu
;;;;;;;;;;;Barcelone, panorama du port I;;;;;;;As in a Looking Glass
;;;;;;;;;;;Bains de Diane (Milan);;;;;;;A Hasty Renovation
;;;;;;;;;;;Géant et nain;;;;;;;The Marathon
;;;;;;;;;;;Water toboggan (Montagnes russes sur l'eau);;;;;;;Photoplay Magazine Screen Supplement #6
;;;;;;;;;;;Alger : prière du muezzin;;;;;;;Luke, Patient Provider
;;;;;;;;;;;Passaic Falls, New Jersey;;;;;;;The Closed Road
;;;;;;;;;;;Dr. Macintyre's X-Ray Film;;;;;;;The Stronger Love
;;;;;;;;;;;Yarmouth Fishing Boats Leaving Harbour;;;;;;;Neptune's Naughty Daughter
;;;;;;;;;;;Débarquement;;;;;;;At Dawn
;;;;;;;;;;;The Pickaninny Dance from the “Passing Show”;;;;;;;A Cowboy's Vindication
;;;;;;;;;;;Der Jongleur;;;;;;;A Singular Cynic
;;;;;;;;;;;Italienischer Bauerntanz;;;;;;;Money
;;;;;;;;;;;Robetta and Doretto, No. 1;;;;;;;A Lucky Toothache
;;;;;;;;;;;Fish Market;;;;;;;Love in a Wood
;;;;;;;;;;;Les chats boxeurs;;;;;;;For the Defense
;;;;;;;;;;;Paris, cortège du bœuf gras (char du prince du carnaval);;;;;;;The O'Mers in 'The Bricklayers'
;;;;;;;;;;;Le char funèbre I;;;;;;;"Félix Mayol Performs ""The Trottins' Polka"""
;;;;;;;;;;;Jongleur javanais;;;;;;;A leányasszony
;;;;;;;;;;;Repas d'indiens;;;;;;;Sudden Jim
;;;;;;;;;;;Humorous Rollerskater;;;;;;;Stuart Webbs: Die geheimnisvolle Villa
;;;;;;;;;;;Carnaval, [VIII];;;;;;;Der heulende Wolf
;;;;;;;;;;;Carnaval, [VII];;;;;;;Bred in the Bone
;;;;;;;;;;;Carnaval, [VI];;;;;;;The Man Who Won
;;;;;;;;;;;Carnaval, [V];;;;;;;American Buds
;;;;;;;;;;;Carnaval, [IV];;;;;;;Two men boxing, one falls on mattress
;;;;;;;;;;;Carnaval, [III];;;;;;;The Law of the North
;;;;;;;;;;;Carnaval, [II];;;;;;;Pants
;;;;;;;;;;;Carnaval, [I];;;;;;;From Italy's Shores
;;;;;;;;;;;Lourdes, transporting the sick, II;;;;;;;The Conquest of Canaan
;;;;;;;;;;;Néron essayant des poisons sur des esclaves;;;;;;;Brown of Harvard
;;;;;;;;;;;Danse des Ciociari;;;;;;;The Fighting Heart
;;;;;;;;;;;Jeu de la poêle;;;;;;;The Cup Final Mystery
;;;;;;;;;;;Watermelon Contest;;;;;;;Hurled Through the Drawbridge
;;;;;;;;;;;Capture of Boer Battery by British;;;;;;;The Broken Rail
;;;;;;;;;;;Attack on a Piquet;;;;;;;The Black Diamond Express
;;;;;;;;;;;Firemen Rescuing Men and Women;;;;;;;The Return of Eve
;;;;;;;;;;;U.S. Troops Landing at Daiquiri, Cuba;;;;;;;A Woman's Eyes
;;;;;;;;;;;Le cigare introuvable;;;;;;;Old Offenders
;;;;;;;;;;;Les Ainos à Ueso, I;;;;;;;Her Father's Silent Partner
;;;;;;;;;;;Coolies à Saïgon;;;;;;;The Forest Rose
;;;;;;;;;;;Paris, Place de la République;;;;;;;The Golden Fetter
;;;;;;;;;;;Jeux d'enfants dans une rue;;;;;;;Stranded in Arcady
;;;;;;;;;;;M. Loubet aux courses;;;;;;;Man's Prerogative
;;;;;;;;;;;Port et Vésuve;;;;;;;The Evil Thereof
;;;;;;;;;;;Fête au village;;;;;;;The Show Girl's Glove
;;;;;;;;;;;Courses d'ânes: II, la course;;;;;;;Cross Purposes
;;;;;;;;;;;Herald Square;;;;;;;The Van Nostrand Tiara
;;;;;;;;;;;Workers Exit from the Confiança Shirt Factory;;;;;;;The House of Silence
;;;;;;;;;;;Joueurs de cartes arrosés;;;;;;;Bill Sharkey's Last Game
;;;;;;;;;;;Black Diamond Express;;;;;;;The Tavern Keeper's Son
;;;;;;;;;;;Negro Street Dancers;;;;;;;The Customary Wife
;;;;;;;;;;;Troop Ships for the Philippines;;;;;;;Jean Intervenes
;;;;;;;;;;;The First Sleigh-Ride;;;;;;;The Story of the Old Gun
;;;;;;;;;;;American Falls from Above, American Side;;;;;;;That Pair from Thespia
;;;;;;;;;;;Black Diamond Express, No. 1;;;;;;;The Rustler's Step-Daughter
;;;;;;;;;;;Going to the Fire;;;;;;;Broncho Billy and the Step-Sisters
;;;;;;;;;;;Mounted Police Charge;;;;;;;Broncho Billy's Mexican Wife
;;;;;;;;;;;Départ en voiture;;;;;;;A Story of Montana
;;;;;;;;;;;Lone Fisherman;;;;;;;The Sheepman's Escape
;;;;;;;;;;;Watermelon Contest;;;;;;;The Outlaw Deputy
;;;;;;;;;;;Edison Drawn by 'World' Artist;;;;;;;An Indian's Sacrifice
;;;;;;;;;;;Mess Call;;;;;;;The Redemption of Broncho Billy
;;;;;;;;;;;Billy Edwards and the Unknown;;;;;;;The Two Fugitives
;;;;;;;;;;;Sadakichi Shimizu, the Armed Robber;;;;;;;The Outlaw and the Baby
;;;;;;;;;;;20,000 Employees Entering Lord Armstrong's Elswick Works, Newcastle-upon-Tyne;;;;;;;Circle C Ranch's Wedding Present
;;;;;;;;;;;The Melbourne Cup;;;;;;;The Girl on Triple X
;;;;;;;;;;;Dewars Scotch Whisky;;;;;;;The Bad Man's Last Deed
;;;;;;;;;;;His Brave Defender;;;;;;;The Bad Man and the Preacher
;;;;;;;;;;;An Exciting Pillow Fight;;;;;;;Vengeance and the Girl
;;;;;;;;;;;Entry of the Scots' Guards into Bloemfontein;;;;;;;A Ranch Romance
;;;;;;;;;;;Cronje's Surrender to Lord Roberts;;;;;;;Broncho Billy's Christmas Deed
;;;;;;;;;;;Tetherball, or Do-Do;;;;;;;Dans le sous-marin
;;;;;;;;;;;Army Life: Mounted Infantry;;;;;;;The Mystic Ball
;;;;;;;;;;;"Upside Down; or, The Human Flies";;;;;;;A Romance of the Rio Grande
;;;;;;;;;;;A Camp Smithy;;;;;;;The Moving Picture Cowboy
;;;;;;;;;;;Tommy Atkins in the Park;;;;;;;The Raiders
;;;;;;;;;;;A Favourite Domestic Scene;;;;;;;Fools For Luck
;;;;;;;;;;;Sirdar's Reception at Guildhall;;;;;;;The Celebrated Scandal
;;;;;;;;;;;A Switchback Railway;;;;;;;Under False Colors
;;;;;;;;;;;Robbery;;;;;;;What the River Foretold
;;;;;;;;;;;Fishermen and Boat at Port Said;;;;;;;Oliver Twist
;;;;;;;;;;;Women Fetching Water from the Nile;;;;;;;The Four-Gun Bandit
;;;;;;;;;;;Life Guards and Princes North of St Paul's;;;;;;;The Soul Master
;;;;;;;;;;;Queen's Carriage and Indian Escort Arriving at St. Paul's;;;;;;;Der papierene Peter
;;;;;;;;;;;Royal Princes in St. Paul's Churchyard;;;;;;;Abreuvoir
;;;;;;;;;;;Royal Carriage Arriving at St Paul's;;;;;;;La danseuse de Siva
;;;;;;;;;;;Caped Mounted Riflemen Passing St Paul's;;;;;;;Tinker, Tailor, Soldier, Sailor
;;;;;;;;;;;Royal Carriages Passing Westminster;;;;;;;A Seaside Introduction
