;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
692;;;;;;;;Foreman of Bar Z Ranch;;;;Touristes revenant d’une excursion;Leap Frog;A Christmas Carol;;;A Night of Horror;
693;;;;;;;;Never Again;;;;Pompiers : sauvetage;Coasting Scene at Montmorency Falls, Canada;A Dreadful Night;;;The White Roses;
694;;;;;;;;How Weary Went Wooing;;;;Pêche à l’épervier;Washing Gold on 20 Above Hunker, Klondike;Une Partie de Tandem;;;In the Bath;
695;;;;;;;;The Range Girl and the Cowboy;;;;Infanterie;Automobile Parade on the Coney Island Boulevard;Mystic Shriners' Day, Dreamland, Coney Island;;;Exciting Reading;
696;;;;;;;;Her Slight Mistake;;;;Carabiniers;A View Taken from a Mobile Platform I;Dixon-Wanamaker Expedition to Crow Agency;;;Fütterung von Riesenschlangen;
697;;;;;;;;The Girl and the Mail Bag;;;;Via Roma;Fort-de-France : marché;Jamestown Exposition;;;A Match Box Mystery;
698;;;;;;;;The Foreman's Choice;;;;Embarquement d’un cheval;The Battleship 'Odin';Chrysanthemums;;;Auch Faulheit kann von Nutzen sein;
699;;;;;;;;The Brave Deserve the Fair;;;;Les Chapeaux, I;Fulton Market;En Chine - Voyage sur le canal impérial;;;Where Is Coletti?;
700;;;;;;;;The Stagecoach Guard;;;;Bersagliers Cyclistes À La Revue;Film trichrome;Evangeline;;;The Picture of Dorian Gray;
701;;;;;;;;The Race for a Gold Mine;;;;Départ d’un transatlantique;Rudge and Whitworth, Britain's Best Bicycle;Les fleurs fantastiques;;;The Latest Star from Vaudeville;
702;;;;;;;;Athletic Ambitions;;;;Dames acrobates;Cunard Mail Steamer Lucania Leaving for America;Hantverksmässan i Falkenberg;;;Das Lied der Colombine;
703;;;;;;;;The Chef at Circle G;;;;Danse sur scène (pas de deux);S.S Saxonia in Liverpool;At the Dentist;;;Arme Lena;
704;;;;;;;;The Tenderfoot's Triumph;;;;Cavalcade (guerriers romains et abyssins);The Finish of Bridget McKeen;The Smoking Chimney;;;Die schwarze Loo;
705;;;;;;;;The Tenderfoot's Triumph;;;;Cygnes;Capture of the Biddle Brothers;Pédalard boit l'obstacle;;;Ein neuer Dreibund;
706;;;;;;;;On the Eagle Trail;;;;Boxeurs;Race for the Grand National;Une lettre pressée;;;John Bull;
707;;;;;;;;The Canby Hill Outlaws;;;;Nègres en corvée;Bloodhounds Tracking a Convict;Yellow Peril;;;Hann, Hein und Henny;
708;;;;;;;;Along the Border;;;;Villefranche : arrivée d'un train;Oxford and Cambridge Boat Race 1901;The Man and His Bottle;;;Deutsche Helden;
709;;;;;;;;Too Many Chefs;;;;Ship at Sea;The Derby 1900;A Juvenile Scientist;;;S1;
710;;;;;;;;Crooked Trails;;;;Cours Belsunce;The Football Final;The Story of Treasure Island;;;The Pleasures of the Reserve Exercise;
711;;;;;;;;Going West to Make Good;;;;Retour des courses (Japon);Cyclists and Pony Traps;A Trip Through British North Borneo;;;Twice Lived;
712;;;;;;;;The Man Hunt!;;;;Danse japonaise, V : Gocho Garama;Firing at the Ranges;Le thermomètre de l'amour;;;When Nations Quarrel;
713;;;;;;;;The Cowpuncher's Peril;;;;Chanteuse japonaise;Phantom Ride, Chamonix;Financial Promise;;;When Four Do the Same;
714;;;;;;;;Taking a Chance;;;;Danse japonaise, IV : Inku;The Bout;The Legend of Prometheus;;;The Unemployed Photographer;
715;;;;;;;;The Girl of Gold Gulch;;;;Danse japonaise, II : Harusame;The Training of Infantry;The Tunnel Workers;;;Specter of the Sea;
716;;;;;;;;Some Duel;;;;Danse japonaise, I : Kappore;Training at the Regimental Depot;The Silver Wedding;;;Roping Big Game in the Frozen North;
717;;;;;;;;Shooting Up the Movies;;;;Baignade de négrillons;Training Cavalry Horses: The Recruit's First Ride;The Paymaster;;;The Pied Piper of Hamelin;
718;;;;;;;;A Western Masquerade;;;;Battle of the flowers and float parade, III;The Deserter;A Kentucky Feud;;;Ossis Tagebuch;
719;;;;;;;;Roping a Sweetheart;;;;Battle of the flowers and float parade, II;The Launch of HMS Dominion;Willie and Tim in the Motor Car;;;Madeleine;
720;;;;;;;;Why the Sheriff Is a Bachelor;;;;Battle of the flowers and float parade, I;Workforce of Scott & Co. Shipyard, Greenock;Caught by Wireless;;;The Highway;
721;;;;;;;;Tom's Strategy;;;;Lourdes, transporting the sick, I;Employees Leaving Messrs Vickers and Maxim's in Barrow;The Bandit King;;;Her Sergeant;
722;;;;;;;;The Pony Express Rider;;;;Lourdes, leaving the Church of the Rosary;Le jugement de Pâris;An Arcadian Elopement;;;Gendarm Möbius;
723;;;;;;;;A Corner in Water;;;;Lourdes, procession, III;A Fight with Sledgehammers;L'Invention du professeur Brick-à-Brack;;;The Golem and the Dancing Girl;
724;;;;;;;;The Raiders;;;;Lourdes, procession, II;Maria Marten: or, The Murder at the Red Barn;Hallucination musicale;;;A Venetian Night;
725;;;;;;;;The Legal Light;;;;Le président prenant congé de ses ministres;Fox Terriers and Rats;Voyage original;;;Klebolin Sticks to Everything;
726;;;;;;;;The Heart of the Sheriff;;;;Marché;Indians and Cowboys;Seaman's Widow;;;Hansa;
727;;;;;;;;Pals in Blue;;;;Espagne : courses de taureaux, II;The Fairy of the Black Rocks;Alexander Girardi Sings the Fiakerlied;;;The Tooth Devil;
728;;;;;;;;An Eventful Evening;;;;Elephants;In My Lady's Boudoir;The Phantom Guard;;;Miss Bellboy;
729;;;;;;;;Tom's Sacrifice;;;;Colin-maillard au baquet;The Art of 'Making Up';Vienna by Tram;;;Witching Hour;
730;;;;;;;;The Sheriff's Blunder;;;;L'assiette au noir;St Helens V Swinton, 1901;Le baiser de la sorcière;;;Poor Jenny;
731;;;;;;;;The Stagecoach Driver and the Girl;;;;Sortie d’un temple shintoïste;Oddfellows Procession in St Helens;The Harvest;;;Der Feind hört mit;
732;;;;;;;;Twisted Trails;;;;Danseuses japonaises : la danse des éventails;Operatives Leaving Messrs Pilkington Bros Works, St Helens 1901;Desperate Encounter Between Burglar and Police;;;Durchlaucht amüsiert sich;
733;;;;;;;;In the Days of Daring;;;;Acteurs japonais : danse d’homme;Workers Leaving Gossage's Soap Works, Widnes;Bobby and His Family;;;A Coin the Colour of Battle Field Grey;
734;;;;;;;;Starring in Western Stuff;;;;Une scène au théâtre japonais;Parade of Widnes School Children;The Reception of King Haakon in Kristiania;;;The Diary of Dr. Hart;
735;;;;;;;;The Luck That Jealousy Brought;;;;Arrivée d’un train à Nagoya;The House That Jack Built;Incendiary Foreman;;;Storm Sign;
736;;;;;;;;The Saddle Girth;;;;La fanfare des Sables;Discovery of Bodies;Victoire is on Her Last Nerve;;;A Romany Spy;
737;;;;;;;;A Roman Cowboy;;;;Arrivée en voiture à la gare;The Draped Model;La Dolores;;;The Life and Works of Richard Wagner;
738;;;;;;;;Knight of the Saddle;;;;Embarquement de M. le président au départ de l’Ile de Ré;Execution of a Spy;Battle at Honnôji Temple;;;Donnerwetter, tadellos;
739;;;;;;;;A Soft Tenderfoot;;;;Arrivée de M. le président à Sainte-Marie;Electrocution;Felling of Hibson Road Brick Works Chimney in Nelson;;;Female Conscripts;
740;;;;;;;;Tom and Jerry;;;;Réception à La Flotte;Kaiser Wilhelm arrival to Copenhagen 2.4;Série 7 (Éclatements de bulles de savon);;;The Power of Hypnosis;
741;;;;;;;;The Rustler's Vindication;;;;Ré : débarquement de M. le président;Expérience du ballon dirigeable de M. Santos Dumont. II. Le ballon et son moteur;The Janitor's Tea Party;;;The Magic of the Mandarin;
742;;;;;;;;The Law North of 65;;;;Panorama du port;Next!;Martyrs of the Inquisition;;;Bathing Forbidden;
743;;;;;;;;Who's Your Father?;;;;Saintes : remise de décorations;A Total Accident;The Life of Charles Peace;;;The Sand Bath;
744;;;;;;;;Ace High;;;;Cortège de M. le président sortant de la gare;Ten Nights in a Barroom;Le monsieur qui a mangé du taureau;;;The Angler;
745;;;;;;;;$5,000 Reward;;;;M. le président à l’hôpital militaire écoutant le compliment d’une petite fille;A Search for Evidence;Esmeralda;;;The Sculptor's Dream;
746;;;;;;;;The Man Within;;;;Arrivée de M. le président dans l’arsenal;Nice: Panorama sur la ligne de Beaulieu à Monaco, III;The Girl from Arles;;;A Modern Marriage;
747;;;;;;;;The Millionaire Cowboy;;;;Panorama de l’arsenal;Nice : panorama sur la ligne de Beaulieu à Monaco, II;Mother Love;;;Italienischer Bauerntanz;
748;;;;;;;;Sheriff Nell's Tussle;;;;Arrivée de l’Elan;Nice : le char des berceuses et de la chanson;The Saucy Magazine;;;A Funny Story at the Window;
749;;;;;;;;The Better Man;;;;M. le président arrivant au bal des Sablaises;Biarritz : la plage et l'établissement;Bink's Toreador;;;Living Marble;
750;;;;;;;;The Princely Bandit;;;;Débarquement des Sablaises;Les poupées;Madame Sans-Gêne;;;The Family Doctor;
751;;;;;;;;The Desperado;;;;Débarquement de M. le président au Carnet;Chirurgie mécanique;Raffles, the Amateur Cracksman;;;The Mysterious Club;
752;;;;;;;;What the River Foretold;;;;Le président après l’inauguration du monument de Paul Baudry;Tentation de Saint-Antoine;The Curate's Dilemma;;;Hurra! Einquartierung!;
753;;;;;;;;The Price Paid;;;;Le président arrivant à l’inauguration du monument de Paul Baudry;Le cambrioleur;Phial of Poison;;;The Marsh Flower;
754;;;;;;;;Broncho Billy's Conscience;;;;Train présidentiel;Arlequin et Méphistophélès;Bad Apple;;;On a Lonely Island;
755;;;;;;;;Attack Of The Indians;;;;Comtesse de Montebello;Une scène à l'octroi;The Return of the Crusader;;;Der neue Schreibtisch;
756;;;;;;;;The Fighting Trail;;;;Rome, Piazza Colonna;Le gendarme et les domestiques;Down In The Deep;;;"The Black Ball; or, The Mysterious Sisters";
757;;;;;;;;Love and Friendship;;;;Rome, fin du cortège au mariage du prince de Naples;Pierrot et la flûte enchantée;When the Devil Drives;;;The Enchanted Circle;
758;;;;;;;;Shootin' Mad;;;;Combat sur la voie ferrée;Le prestidigitateur au café;Squires, Australian Champion, in His Training Quarters;;;The Yellow Ticket;
759;;;;;;;;Across the Border;;;;Débarquement et feu de mousqueterie;Substitutions;Classmates;;;Die Sühne;
760;;;;;;;;Alkali Ike Bests Broncho Billy;;;;Branle-bas de combat;La marmite diabolique;Play Ball on the Beach;;;Der ewige Zweifel;
761;;;;;;;;Broncho Billy's Adventure;;;;Régates (retour);Le château hanté;Miyamoto Musashi's Subjugation of the Lustful Old Man;;;Wanda's Trick;
762;;;;;;;;War on the Plains;;;;Régates (aller);Une place publique à Tokyo;Around New York in 15 Minutes;;;Die Liebe der Maria Bonde;
763;;;;;;;;The Fight for Freedom;;;;Arrivée d’un bateau et mise à l’ancre;Old London Street Scenes;Midwinter Bathing, L Street Bath, Boston;;;The Devil's Church;
764;;;;;;;;Six-Shooter Andy;;;;Défilé de l’artillerie de marine;Boys Sliding;Marceline, the World-Renowned Clown of the N.Y. Hippodrome;;;Der Andere;
765;;;;;;;;The Lure of Woman;;;;Défilé de la compagnie de débarquement, II;King Georg of Saxony in Chemnitz on 10.9.1902;Terrier vs. Wild Cat;;;The Queen of the Stock Exchange;
766;;;;;;;;Nan of Music Mountain;;;;Défilé de la compagnie de débarquement, I;Midway of Charleston Exposition (South Carolina);Teasing;;;The Traitress;
767;;;;;;;;The Golden Thought;;;;Embarquement d’un boeuf;Dewsbury v Manningham;Leap Frog Railway, Coney Island;;;Das Baby;
768;;;;;;;;The Deserter;;;;Lavage du pont, II;Warrington v. St. Helens;The Barnstormers;;;Alraune, die Henkerstochter, genannt die rote Hanne;
769;;;;;;;;The Cowboy's Sweetheart;;;;Essuyage du pont;The Last Alarm;Seeing Boston;;;;
770;;;;;;;;Bill's Sweetheart;;;;Lavage du pont, I;Le Roi Victor Emmanuel III se rendant au Sénat pour la cérémonie du Serment;Poor John;;;;
771;;;;;;;;Der schwarze Jack;;;;Défilé d’inspection à bord des artilleurs et torpilleurs mineurs;Plate-forme mobile et train électrique;An Execution by Hanging;;;;
772;;;;;;;;5,000 Dollar Elopement;;;;Défilé d’inspection à bord de la compagnie de débarquement;Images of China;Ludlow's Aerodrome;;;;
773;;;;;;;;The Auction Sale of Run-Down Ranch;;;;Salut aux couleurs;Tram Rides through Nottingham;The Zulu's Heart;;;;
774;;;;;;;;Cactus Jim's Shop Girl;;;;Remise des médailles de Madagascar;St George's Day Procession in Liverpool;The Short-Sighted Cyclist;;;;
775;;;;;;;;The Primal Lure;;;;Départ des permissionnaires;Trafalgar Day in Liverpool;The Viking's Daughter: The Story of the Ancient Norsemen;;;;
776;;;;;;;;White Dove's Sacrifice;;;;Départ du canot major;Arrest of Goudie;"Turning the Tables; or, Waiting on the Waiter";;;;
777;;;;;;;;The Sheriff;;;;Embarquement des marins dans leurs canots;Liverpool Church Parade and Inspection;What One Small Boy Can Do;;;;
778;;;;;;;;The Sheriff's Mistake;;;;L’amiral rentrant à bord;Liverpool As Seen from the Front of an Electric Car from the Pierhead to the Circus;Too Much Champagne;;;;
779;;;;;;;;The Bank Cashier;;;;"Le ""Carnot""";Liverpool Street Scenes;Panorama, Ruins Aristocratic Apartments;;;;
780;;;;;;;;The Ranger of Lonesome Gulch;;;;"Le ""Courbet""";Danses cosmopolites à transformation;Panorama, Nob Hill and Ruins of Millionaire Residences;;;;
781;;;;;;;;The Quagmire;;;;"Le ""Formidable""";West Indian Girls in Native Dance;Panorama, City Hall, Van Ness Avenue and College of St. Ignatius;;;;
782;;;;;;;;The Goddess of Sagebrush Gulch;;;;Les cuirassés de l’escadre (panorama);Grand Review;Vertical Panorama City Hall and Surroundings;;;;
783;;;;;;;;Fighting Mad;;;;Belfast, pompiers : exercices de sauvetage;The Unclean World;Ruins of Chinatown;;;;
784;;;;;;;;A Drama on a Locomotive;;;;13e hussards : charge;Splendid New Views of Bombay;A Pipe Dream;;;;
785;;;;;;;;The Devil Dodger;;;;13e hussards : exercices du sabre, pied à terre et départ;The Spirit of His Forefathers;Life of Moses;;;;
786;;;;;;;;The Deserter;;;;13e hussards : arrivée et pied à terre;The Grebel's Floating Nests;The Music Master;;;;
787;;;;;;;;Squatters Rights;;;;13e hussards : défilé;The 'Gator and the Pickaninny;Meißner Porzellan;;;;
788;;;;;;;;Pirates of the Plains;;;;13e hussards : saut d’obstacles par douze;Épopée napoléonienne - Napoléon Bonaparte;Camagüey Panorama;;;;
789;;;;;;;;Chimmie Fadden Out West;;;;13e hussards : saut d’obstacles;Don Quichotte;Departure from Palacio de Don Tomás Estrada Palma;;;;
790;;;;;;;;The Secret of Death Valley;;;;Arrivée à Kingstown;La Vie d'un joueur;Aus dem Leben der Kate auf Deutsch-Neuguinea;;;;
791;;;;;;;;Her Indian Mother;;;;Ligne de Belfast à Kingstown, III;Ingenious Soubrette;Buschmann spricht in den Phonographen;;;;
792;;;;;;;;An Adventure on the Mexican Border;;;;Ligne de Belfast à Kingstown, II;The Illusionist;The Summer Boarders;;;;
793;;;;;;;;The Ranchman's Daughter;;;;Ligne de Belfast à Kingstown, I;The Burning Barn;Il carnevale di Milano del 1908;;;;
794;;;;;;;;Mr. 'Silent' Haskins;;;;Soundy Mounts;Royal Visit of the Duke and Duchess of Cornwall and York to New Zealand;Result of Eating Horse Flesh;;;;
795;;;;;;;;Border Raiders;;;;Départ de Lurgan;L'assassinat du ministre Plehve;La valse à la mode;;;;
796;;;;;;;;A Bear of a Story;;;;Lisburn;Alibaba and the Forty Thieves;Nuit de Noël;;;;
797;;;;;;;;The Spirit of Cabin Mine;;;;Départ de Dunmurry;Panorama of Ealing from a Moving Tram;Two Sisters;;;;
798;;;;;;;;Letters of Fire;;;;Panorama du départ de Belfast;Retour du Cortège après le Couronnement: Le Roi;The Tired Tailor's Dream;;;;
799;;;;;;;;When the Tables Turned;;;;Panorama du palais de Westminster pris de la Tamise;Women of the Ghetto Bathing;Earthquake Ruins, New Majestic Theatre and City Hall;;;;
800;;;;;;;;During the Round-Up;;;;Départ d’un bateau sur la Tamise;Lancaster, Pa., High School;Eine Fahrt durch Wien;;;;
801;;;;;;;;Tennessee's Pardner;;;;Bateaux sur le lac de St-James Park;Kingston Rowing Club at Practice;Les débuts d'un chauffeur;;;;
802;;;;;;;;Kidnapping by Indians;;;;Les dernières cartouches;Indsejlingen til Warnemünde 1903;Le fils du diable fait la noce à Paris;;;;
803;;;;;;;;Her Atonement;;;;Signature du traité de Campo-Formio;Seashore Frolics;A Wedding in Bitola;;;;
804;;;;;;;;The Man from Nowhere;;;;Faust : métamorphose de Faust et apparition de Marguerite;Run of N.Y. Fire Department;Celebration of Epiphany in Bitola;;;;
805;;;;;;;;Wolf Lowry;;;;Bataille d’enfants à coup d’oreillers;A Phenomenal Contortionist;Parades of the Turkish Artillery in Bitola;;;;
806;;;;;;;;Truthful Tulliver;;;;Une farce à la chambrée;Panoramic View of Charleston Exposition (South Carolina);Parade on the Occasion of the Hürriyet;;;;
807;;;;;;;;Riddle Gawne;;;;Scène chez l’antiquaire;Panoramic View of Boston Subway from an Electric Car;The Celebration on Hürriyet;;;;
808;;;;;;;;Selfish Yates;;;;Chez le juge de paix;Madison Square, New York;Celebration on the Occasion of Young Turks' Revolution in Bitola;;;;
809;;;;;;;;Chip of the Flying U;;;;Napoléon et la sentinelle;The Eighth Wonder;"Fair Near ""Holy Sunday"" Church in Bitola";;;;
810;;;;;;;;The Great Divide;;;;Danseur russe;Panoramic View Near Mt. Golden on the Canadian Pacific R. R.;The Celebration of St. Cyril and Methodius on the Main Street in Bitola;;;;
811;;;;;;;;A Man and His Mate;;;;Nounou et soldats;Artillery at Jægerspris;Village Wedding;;;;
812;;;;;;;;Under Handicap;;;;Panorama de la ligne de Peterhof;Sct. Clemensbro i Aarhus;The Celebration of Saint George;;;;
813;;;;;;;;The Quitter;;;;Revue de Krasnoïe Selo : pages;Kongerevue paa Fælleden;His First Visit to Warsaw;;;;
814;;;;;;;;Winner Takes All;;;;Revue de Krasnoïe Selo : infanterie;Bathing Ladies at the Waterpark;Hamlet, Prince of Denmark;;;;
815;;;;;;;;Hungry Eyes;;;;Revue de Krasnoïe Selo : grenadiers;Tietgen's Funeral;The Captain of Köpenick;;;;
816;;;;;;;;Pay Me!;;;;Revue de Krasnoïe Selo : artillerie de forteresse;Hartmanns begravelse;The Automobile Thieves;;;;
817;;;;;;;;Follow the Girl;;;;Revue de Krasnoïe Selo : cosaques;Leaping Dogs at Gentry's Circus;In the Land of Nod;;;;
818;;;;;;;;The Hero of the Hour;;;;Revue de Krasnoïe Selo : artillerie;The Johnnie and the Telephone;Humanity Through the Ages;;;;
819;;;;;;;;Mixed Blood;;;;Revue de Krasnoïe Selo : charge des hussards de l’impératrice;From Council Bluffs to Omaha;When We Were Boys;;;;
820;;;;;;;;Two Men of Sandy Bar;;;;Officiers russes attachés au président et journalistes;Queen Alexandra's Arrival to Toldboden;Jack the Kisser;;;;
821;;;;;;;;The Yaqui;;;;M. le président passant devant la compagnie d’honneur;Ice Skating in Central Park, N.Y.;The Boy, the Bust and the Bath;;;;
822;;;;;;;;Colorado;;;;Arrivée de M. le président à Saint-Pétersbourg;Tying Up Bags for Train, U.S.P.O.;Dick Turpin;;;;
823;;;;;;;;The Long Chance;;;;Suite du cortège passant devant l’amiral Avellan;Clerks Tying Bags, U.S.P.O.;A Tragic Wedding;;;;
824;;;;;;;;The Fighting Grin;;;;Arrivée de M. le président et du tsar à Peterhof;Loading Mail Car, U.S.P.O.;The Diligent Batman;;;;
825;;;;;;;;The Eagle;;;;Panorama de la ville pris d’un bateau;Post Man Delivering Mail, U.S.P.O.;One Touch of Nature;;;;
826;;;;;;;;The Desire of the Moth;;;;Anvers : arrivée en Bateau;Wagons Loading Mail, U.S.P.O.;The Helping Hand;;;;
827;;;;;;;;A Life for a Kiss;;;;Gardes à pied : marche de front;Rural Wagon Delivering Mail, U.S.P.O.;The Christmas Burglars;;;;
